AnimalID,MomID,DadID,BGroup,DoB,Sex,Matril,Pedigree,SiblingNo,UniCode
LE,128,,E,4/17/1961,f,Q1089,2,5,K-066
TJ,128,,E,4/19/1962,m,Q1089,2,6,K-563
YS,128,,E,5/5/1963,f,Q1089,2,7,K-850
GF,128,,E,5/14/1964,m,Q1089,2,8,H-104
F3,128,,E,4/29/1965,m,Q1089,2,9,G-921
i66128,128,,E,5/18/1966,m,Q1089,2,10,I-339
5G,128,,E,4/11/1967,f,Q1089,2,11,F-892
9E,128,,E,6/21/1968,m,Q1089,2,12,G-345
374,128,,E,3/6/1970,f,Q1089,2,13,F-625
AV,122,,U,1/1/1958,m,Q1088,2,1,G-470
EG,122,,U,5/22/1959,m,Q1088,2,2,G-883
i61122,122,,I,2/25/1961,f,Q1088,2,3,I-255
14,119,,U,1/1/1955,m,Q1086,2,1,F-380
S007,119,,U,1/1/1957,m,Q1086,2,2,K-393
DW,119,,U,3/26/1958,m,Q1086,2,3,G-786
EY,119,,U,3/13/1959,m,Q1086,2,4,G-896
T,119,,A,3/11/1960,m,Q1086,2,5,K-475
i61119,119,,A,2/24/1961,f,Q1086,2,6,I-254
UG,119,,A,3/1/1962,f,Q1086,2,7,K-596
XH,119,,A,3/1/1963,f,Q1086,2,8,K-803
GI,119,,A,2/20/1964,f,Q1086,2,9,H-107
I7,119,,A,5/7/1965,m,Q1086,2,10,I-510
P2,119,,A,4/22/1966,m,Q1086,2,11,K-321
2U,119,,A,3/23/1967,m,Q1086,2,12,F-554
7A,119,,A,4/12/1968,f,Q1086,2,13,G-119
S005,117,,U,1/1/1957,m,Q1084,2,1,K-391
CE,117,,U,3/3/1959,m,Q1084,2,2,G-675
ID,117,,C,2/17/1960,m,Q1084,2,3,J-765
NK,117,,C,1/20/1961,f,Q1084,2,4,K-219
i62117,117,,C,2/24/1962,f,Q1084,2,5,I-266
XB,117,,C,1/22/1963,f,Q1084,2,6,K-797
OI,117,,C,2/15/1964,f,Q1084,2,7,K-303
S004,116,,U,1/1/1957,m,Q1083,2,1,K-390
AN,116,,U,3/15/1958,m,Q1083,2,2,G-464
CS,116,,U,4/17/1959,f,Q1083,2,3,G-683
i60116,116,,G,3/17/1960,m,Q1083,2,4,I-242
JU,116,,I,12/29/1960,m,Q1083,2,5,J-889
NU,116,,I,3/31/1962,f,Q1083,2,6,K-228
XC,116,,I,3/6/1963,f,Q1083,2,7,K-798
FI,116,,I,2/8/1964,m,Q1083,2,8,G-993
3H,116,,I,3/27/1967,m,Q1083,2,9,F-658
EB,115,,U,4/28/1959,m,Q1082,2,1,G-879
LX,115,,E,2/8/1961,f,Q1082,2,2,K-085
UB#,115,,E,4/7/1962,m,Q1082,2,3,K-592
i63115,115,,E,3/13/1963,f,Q1082,2,4,I-287
V,114,,E,4/17/1960,m,Q1081,2,1,K-616
JA,114,,E,4/2/1961,m,Q1081,2,2,J-870
NP,114,,E,4/27/1962,m,Q1081,2,3,K-223
i63114,114,,E,4/5/1963,m,Q1081,2,4,I-286
WQ,114,,E,2/21/1964,f,Q1081,2,5,K-718
H5,114,,E,5/10/1965,f,Q1081,2,6,H-165
i66114,114,,E,4/17/1966,m,Q1081,2,7,I-338
3T,114,,E,4/4/1967,m,Q1081,2,8,F-668
9J,114,,E,6/17/1968,f,Q1081,2,9,G-348
225,114,,E,4/14/1969,f,Q1081,2,10,F-452
i70114,114,,E,4/23/1970,m,Q1081,2,11,I-513
EL,112,,U,5/22/1959,f,Q1080,2,1,G-887
NI,112,,C,2/3/1961,f,Q1080,2,2,K-217
UT,112,,C,3/14/1962,m,Q1080,2,3,K-609
YO,112,,C,2/27/1963,f,Q1080,2,4,K-846
WC,112,,C,2/11/1964,m,Q1080,2,5,K-704
F5,112,,C,3/30/1965,f,Q1080,2,6,G-939
W5,112,,C,2/25/1966,f,Q1080,2,7,K-697
DV,109,,U,3/20/1958,m,Q1078,2,1,G-785
KA,109,,U,3/17/1959,f,Q1078,2,2,J-971
HB,109,,A,2/29/1960,f,Q1078,2,3,H-203
LB,109,,A,3/4/1961,f,Q1078,2,4,K-063
UX,109,,A,3/15/1962,m,Q1078,2,5,K-613
XG,109,,A,2/18/1963,f,Q1078,2,6,K-802
GT,109,,A,2/4/1964,f,Q1078,2,7,H-117
i65109,109,,A,2/9/1965,f,Q1078,2,8,I-315
BY,106,,U,3/18/1959,f,Q1077,2,1,G-580
JM,106,,A,1/6/1961,f,Q1077,2,2,J-881
UZ,106,,A,3/8/1962,f,Q1077,2,3,K-615
XP,106,,A,2/15/1963,f,Q1077,2,4,K-811
ZB,106,,A,2/15/1964,m,Q1077,2,5,K-924
i65106,106,,A,3/1/1965,f,Q1077,2,6,I-314
X3,106,,A,2/21/1966,f,Q1077,2,7,K-753
2I,106,,A,2/20/1967,m,Q1077,2,8,F-543
6L,106,,A,4/1/1968,f,Q1077,2,9,G-011
212,106,,A,3/9/1969,m,Q1077,2,10,F-438
338,106,,K,2/21/1970,f,Q1077,2,11,F-588
KP,105,,U,5/5/1959,m,Q1076,2,1,J-982
L,105,,C,5/11/1960,f,Q1076,2,2,J-992
LL,105,,C,5/29/1961,f,Q1076,2,3,K-073
UK,105,,C,4/25/1962,m,Q1076,2,4,K-600
YR,105,,C,6/4/1963,f,Q1076,2,5,K-849
GV,105,,C,5/2/1964,f,Q1076,2,6,H-119
B6,105,,C,3/23/1965,m,Q1076,2,7,G-527
i66105,105,,C,2/25/1966,f,Q1076,2,8,I-337
1Q,105,,C,3/2/1967,f,Q1076,2,9,F-417
i68105,105,,C,2/24/1968,u,Q1076,2,10,I-412
AJ,102,,U,2/26/1958,f,Q1074,2,1,G-461
KQ,102,,U,4/7/1959,m,Q1074,2,2,J-983
U,102,,E,4/5/1960,m,Q1074,2,3,K-580
LD,102,,E,3/18/1961,m,Q1074,2,4,K-065
UR,102,,E,4/25/1962,f,Q1074,2,5,K-607
i63102,102,,E,3/15/1963,f,Q1074,2,6,I-284
WP,102,,E,4/17/1964,f,Q1074,2,7,K-717
H8,102,,E,4/6/1965,m,Q1074,2,8,H-188
V3,102,,E,3/15/1966,m,Q1074,2,9,K-642
Y7,102,,E,3/7/1967,m,Q1074,2,10,K-829
7Y,102,,E,3/15/1968,m,Q1074,2,11,G-138
222,102,,E,3/17/1969,m,Q1074,2,12,F-449
365,102,,E,2/25/1970,f,Q1074,2,13,F-615
402,102,,E,3/8/1971,m,Q1074,2,14,F-675
R003,22,,U,1/1/1955,f,Q1071,2,1,K-332
i5622,22,,U,6/26/1956,u,Q1071,2,2,I-222
R014,22,,U,6/26/1956,m,Q1071,2,3,K-342
BH,22,,U,3/1/1959,f,Q1071,2,4,G-566
BG,22,,U,3/1/1959,f,Q1071,2,5,G-565
IM,97,,G,3/4/1960,m,Q1069,2,1,J-778
i61097,97,,H,3/22/1961,m,Q1069,2,2,I-252
NO,97,,H,4/4/1962,m,Q1069,2,3,K-222
i63097,97,,H,3/8/1963,m,Q1069,2,4,I-283
ZO,97,,H,2/15/1964,m,Q1069,2,5,K-937
N5,97,,H,2/5/1966,f,Q1069,2,6,K-158
3N,97,,H,3/4/1967,f,Q1069,2,7,F-663
BN,93,,U,4/18/1957,f,Q1068,2,1,G-571
BP,93,,U,4/24/1958,f,Q1068,2,2,G-572
EP,93,,U,4/15/1959,m,Q1068,2,3,G-890
i60093,93,,A,4/18/1960,f,Q1068,2,4,I-239
S009,92,,U,1/1/1957,f,Q1067,2,1,K-395
BZ,92,,U,2/1/1959,m,Q1067,2,2,G-581
HX,92,,A,3/5/1960,f,Q1067,2,3,H-222
JQ,92,,A,2/18/1961,m,Q1067,2,4,J-885
TN,92,,A,3/19/1962,f,Q1067,2,5,K-567
i63092,92,,A,5/3/1963,m,Q1067,2,6,I-282
WU,92,,A,4/24/1964,m,Q1067,2,7,K-722
F7,92,,J,4/9/1965,m,Q1067,2,8,G-954
T9,92,,J,5/12/1966,f,Q1067,2,9,K-548
7E,92,,J,2/14/1968,m,Q1067,2,10,G-122
AA,91,,U,1/1/1957,f,Q1066,2,1,G-458
WD,91,,I,2/5/1964,f,Q1066,2,2,K-705
R013,90,,U,1/1/1956,f,Q1065,2,1,K-341
i57090,90,,U,5/21/1957,u,Q1065,2,2,I-224
AS,90,,U,2/10/1959,f,Q1065,2,3,G-467
i60090,90,,A,3/2/1960,u,Q1065,2,4,I-238
JY,90,,A,2/21/1961,f,Q1065,2,5,J-893
XE,90,,A,4/20/1962,m,Q1065,2,6,K-800
XW,90,,A,3/21/1963,f,Q1065,2,7,K-818
F1,90,,A,1/15/1965,m,Q1065,2,8,G-905
6C,90,,A,2/18/1966,f,Q1065,2,9,G-004
5K,90,,A,7/1/1967,m,Q1065,2,10,F-896
9Q,90,,A,6/4/1968,f,Q1065,2,11,G-353
CB,88,,U,4/5/1959,m,Q1064,2,1,G-674
i60088,88,,C,4/24/1960,f,Q1064,2,2,I-237
i62088,88,,C,4/3/1962,u,Q1064,2,3,I-264
YD,88,,C,1/27/1963,f,Q1064,2,4,K-835
GL,88,,C,3/9/1964,f,Q1064,2,5,H-110
C6,88,,C,3/10/1965,f,Q1064,2,6,G-639
W4,88,,C,2/21/1966,f,Q1064,2,7,K-696
i68088,88,,C,2/19/1968,f,Q1064,2,8,I-410
DS,85,,U,3/19/1959,m,Q1062,2,1,G-783
X,85,,A,4/3/1960,f,Q1062,2,2,K-727
JD,85,,A,3/4/1961,m,Q1062,2,3,J-873
i62085,85,,A,3/24/1962,f,Q1062,2,4,I-263
i63085,85,,A,3/4/1963,m,Q1062,2,5,I-281
S017,84,,U,2/28/1957,f,Q1061,2,1,K-404
AG,84,,U,3/18/1958,m,Q1061,2,2,G-459
R011,83,,U,1/1/1956,f,Q1060,2,1,K-339
S003,83,,U,1/1/1957,f,Q1060,2,2,K-389
R010,81,,U,1/1/1956,f,Q1059,2,1,K-338
IA,81,,U,3/10/1959,m,Q1059,2,2,J-762
i60081,81,,A,3/21/1960,m,Q1059,2,3,I-236
LG,81,,A,3/6/1961,m,Q1059,2,4,K-068
UH,81,,A,4/7/1962,f,Q1059,2,5,K-597
i63081,81,,A,3/13/1963,m,Q1059,2,6,I-280
FJ,81,,A,2/28/1964,m,Q1059,2,7,G-994
K3,81,,A,3/9/1965,m,Q1059,2,8,J-915
6H,81,,A,3/11/1966,f,Q1059,2,9,G-007
5Y,81,,A,3/11/1967,m,Q1059,2,10,F-907
387,81,,A,4/9/1969,m,Q1059,2,11,F-637
AM,80,,U,3/21/1958,f,Q1058,2,1,G-463
CR,80,,U,3/1/1959,m,Q1058,2,2,G-682
HL,80,,G,3/22/1960,f,Q1058,2,3,H-211
LS,80,,H,4/13/1961,f,Q1058,2,4,K-080
XS,80,,H,3/14/1963,f,Q1058,2,5,K-814
WN,80,,H,3/26/1964,f,Q1058,2,6,K-715
i65080,80,,H,7/29/1965,u,Q1058,2,7,I-313
i66080,80,,H,2/16/1966,f,Q1058,2,8,I-336
KH,78,,U,4/15/1959,f,Q1057,2,1,J-977
HS,78,,A,5/28/1960,f,Q1057,2,2,H-217
R009,76,,U,1/1/1956,m,Q1056,2,1,K-337
KB,76,,U,1/1/1957,m,Q1056,2,2,J-972
CZ,76,,U,1/1/1958,m,Q1056,2,3,G-686
KD,76,,U,3/5/1959,f,Q1056,2,4,J-974
HK,76,,F,3/9/1960,f,Q1056,2,5,H-210
JH,76,,F,2/27/1961,f,Q1056,2,6,J-876
NT,76,,F,3/26/1962,m,Q1056,2,7,K-227
YA,76,,F,3/8/1963,m,Q1056,2,8,K-832
WX,76,,F,2/12/1964,f,Q1056,2,9,K-724
B4,76,,F,4/18/1965,m,Q1056,2,10,G-508
N7,76,,F,3/17/1966,m,Q1056,2,11,K-177
1A,76,,F,3/27/1967,f,Q1056,2,12,F-402
299,76,,F,1/10/1970,f,Q1056,2,13,B-051
512,76,,F,3/3/1972,m,Q1056,2,14,F-802
N,75,,C,5/19/1960,m,Q1055,2,1,K-115
NS,75,,C,2/20/1962,m,Q1055,2,2,K-226
XY,75,,C,2/17/1963,m,Q1055,2,3,K-820
OF,75,,C,4/15/1964,f,Q1055,2,4,K-300
i65075,75,,C,3/24/1965,m,Q1055,2,5,I-312
X8,75,,C,4/29/1966,m,Q1055,2,6,K-785
5T,75,,C,3/3/1967,m,Q1055,2,7,F-903
i69075,75,,C,1/31/1969,m,Q1055,2,8,I-482
LN,74,,C,3/10/1960,f,Q1054,2,1,K-075
IZ,74,,C,4/20/1961,m,Q1054,2,2,J-790
TX,74,,C,4/18/1962,f,Q1054,2,3,K-577
MS,74,,C,4/12/1963,m,Q1054,2,4,K-112
GU,74,,C,4/24/1964,f,Q1054,2,5,H-118
J9,74,,C,4/11/1965,f,Q1054,2,6,J-863
X6,74,,C,4/11/1966,m,Q1054,2,7,K-772
4X,74,,C,4/16/1967,f,Q1054,2,8,F-787
i68074,74,,C,6/30/1968,f,Q1054,2,9,I-409
EK,73,,U,1/1/1956,f,Q1053,2,1,G-886
ER,73,,U,1/1/1958,m,Q1053,2,2,G-892
EZ,73,,U,4/6/1959,m,Q1053,2,3,G-897
K,73,,F,3/28/1960,f,Q1053,2,4,J-895
JJ,73,,F,3/5/1961,f,Q1053,2,5,J-878
BB,70,,U,1/30/1959,f,Q1052,2,1,G-564
NG,70,,C,1/23/1961,m,Q1052,2,2,K-215
i63070,70,,C,2/1/1963,m,Q1052,2,3,I-279
BR,69,,U,1/1/1957,m,Q1051,2,1,G-574
i59069,69,,U,2/23/1959,f,Q1051,2,2,I-229
HH,69,,A,2/28/1960,f,Q1051,2,3,H-208
LV,69,,A,2/17/1961,f,Q1051,2,4,K-083
TU,69,,A,3/26/1962,f,Q1051,2,5,K-574
R008,65,,U,1/1/1956,m,Q1050,2,1,K-336
DD,65,,U,3/30/1958,f,Q1050,2,2,G-775
KG,65,,U,7/1/1959,f,Q1050,2,3,J-976
JS,65,,F,2/2/1961,m,Q1050,2,4,J-887
TD,65,,F,4/5/1962,m,Q1050,2,5,K-557
WK,65,,F,5/7/1963,m,Q1050,2,6,K-712
FB,65,,F,3/11/1964,f,Q1050,2,7,G-986
OS,65,,F,3/17/1965,f,Q1050,2,8,K-311
7P,65,,F,3/27/1968,m,Q1050,2,9,G-130
i69065,65,,F,4/8/1969,m,Q1050,2,10,I-481
298,65,,F,2/14/1970,m,Q1050,2,11,F-533
436,65,,F,6/3/1971,m,Q1050,2,12,F-709
BV,64,,U,1/1/1956,f,Q1049,2,1,G-577
AY,64,,U,1/1/1957,f,Q1049,2,2,G-472
KX,64,,U,2/25/1959,m,Q1049,2,3,J-990
LC,64,,A,2/15/1961,f,Q1049,2,4,K-064
YC,64,,A,4/27/1962,m,Q1049,2,5,K-834
GY,64,,A,2/6/1964,f,Q1049,2,6,H-122
P4,64,,A,4/4/1966,f,Q1049,2,7,K-323
EN,62,,U,4/3/1958,m,Q1048,2,1,G-889
LY,62,,A,7/3/1961,m,Q1048,2,2,K-086
XN,62,,A,2/7/1963,f,Q1048,2,3,K-809
ZH,62,,A,2/21/1964,m,Q1048,2,4,K-930
K2,62,,A,3/5/1965,f,Q1048,2,5,J-908
P6,62,,A,2/25/1966,m,Q1048,2,6,K-325
2P,62,,A,3/3/1967,m,Q1048,2,7,F-549
6U,62,,A,3/5/1968,m,Q1048,2,8,G-018
257,62,,A,3/1/1969,m,Q1048,2,9,F-487
294,62,,L,2/24/1970,f,Q1048,2,10,F-529
404,62,,L,3/5/1971,f,Q1048,2,11,F-677
478,62,,L,4/15/1972,m,Q1048,2,12,F-749
629,62,,L,3/27/1974,f,Q1048,2,13,F-936
i76062,62,,L,5/5/1976,f,Q1048,2,14,I-698
EE,58,,U,1/1/1958,m,Q1046,2,1,G-882
S,58,,A,2/5/1960,f,Q1046,2,2,K-385
i61058,58,,C,3/18/1961,f,Q1046,2,3,I-250
KS,51,,U,3/1/1959,f,Q1042,2,1,J-985
AH,49,,U,1/1/1958,f,Q1041,2,1,G-460
CM,49,,U,4/15/1959,f,Q1041,2,2,G-679
IL,49,,G,4/16/1960,m,Q1041,2,3,J-777
LP,49,,H,3/18/1961,f,Q1041,2,4,K-077
TE,49,,H,7/21/1962,f,Q1041,2,5,K-558
YU,49,,H,5/17/1963,m,Q1041,2,6,K-852
FZ,49,,H,5/20/1964,m,Q1041,2,7,H-010
K4,49,,H,4/14/1965,m,Q1041,2,8,J-924
R6,49,,H,3/24/1966,f,Q1041,2,9,K-355
i67049,49,,H,3/21/1967,m,Q1041,2,10,I-387
7I,49,,H,4/20/1968,m,Q1041,2,11,G-125
R004,46,,U,1/1/1956,f,Q1039,2,1,K-333
BT,46,,U,2/27/1958,f,Q1039,2,2,G-576
ET,46,,U,5/29/1959,m,Q1039,2,3,G-894
H,46,,G,5/16/1960,m,Q1039,2,4,H-124
LF,46,,H,5/5/1961,f,Q1039,2,5,K-067
HJ,41,,U,3/14/1959,f,Q1038,2,1,H-209
i62041,41,,A,3/20/1962,m,Q1038,2,2,I-262
MN,41,,A,3/26/1963,m,Q1038,2,3,K-107
FM,41,,A,2/16/1964,f,Q1038,2,4,G-997
A2,41,,A,2/26/1965,f,Q1038,2,5,G-384
L9,41,,A,2/18/1966,m,Q1038,2,6,K-054
KU,40,,U,1/22/1959,m,Q1037,2,1,J-987
HG,40,,A,2/20/1960,m,Q1037,2,2,H-207
JX,40,,A,5/4/1961,m,Q1037,2,3,J-892
TP,40,,A,4/7/1962,m,Q1037,2,4,K-569
BS,37,,U,1/1/1958,m,Q1035,2,1,G-575
HN,37,,A,1/25/1960,f,Q1035,2,2,H-213
JZ,37,,A,3/15/1961,m,Q1035,2,3,J-894
TW,37,,A,3/22/1962,f,Q1035,2,4,K-576
XR,37,,A,2/15/1963,f,Q1035,2,5,K-813
GZ,37,,A,2/1/1964,m,Q1035,2,6,H-123
E5,37,,A,2/19/1965,m,Q1035,2,7,G-840
T3,37,,A,2/21/1966,m,Q1035,2,8,K-500
4C,37,,A,2/10/1967,f,Q1035,2,9,F-770
6N,37,,A,2/10/1968,m,Q1035,2,10,G-012
242,37,,A,2/15/1969,f,Q1035,2,11,F-470
367,37,,A,3/5/1970,f,Q1035,2,12,F-617
i71037,37,,A,4/12/1971,m,Q1035,2,13,I-541
AU,35,,U,1/1/1958,f,Q1034,2,1,G-469
EH,35,,U,3/1/1959,m,Q1034,2,2,G-884
IY,35,,C,3/8/1960,f,Q1034,2,3,J-789
NC,35,,C,2/27/1961,f,Q1034,2,4,K-211
XA,35,,C,3/10/1962,m,Q1034,2,5,K-796
83I,35,X79,S,2/11/1998,m,Q1034,2,6,D-604
HP,31,,U,3/7/1959,f,Q1033,2,1,H-215
HM,31,,A,3/20/1960,m,Q1033,2,2,H-212
JP,31,,A,3/10/1961,f,Q1033,2,3,J-884
UD,31,,A,3/29/1962,m,Q1033,2,4,K-594
XJ,31,,A,3/15/1963,f,Q1033,2,5,K-805
WF,31,,A,2/21/1964,f,Q1033,2,6,K-707
A6,31,,J,3/1/1965,f,Q1033,2,7,G-425
K8,31,,J,2/21/1966,m,Q1033,2,8,J-959
5D,31,,J,2/24/1967,m,Q1033,2,9,F-890
7H,31,,J,3/3/1968,f,Q1033,2,10,G-124
240,31,,J,3/5/1969,f,Q1033,2,11,F-468
320,31,,J,3/8/1970,f,Q1033,2,12,B-365
420,31,,J,2/17/1971,f,Q1033,2,13,B-816
492,31,,J,3/22/1972,m,Q1033,2,14,F-760
i73031,31,,J,3/31/1973,m,Q1033,2,15,I-649
NL,29,,C,4/15/1960,m,Q1032,2,1,K-220
UL,29,,C,3/27/1962,f,Q1032,2,2,K-601
YW,29,,C,6/1/1963,m,Q1032,2,3,K-854
i65029,29,,C,3/3/1965,m,Q1032,2,4,I-310
HA,28,,U,6/25/1959,f,Q1031,2,1,H-202
DK,24,,U,3/10/1959,m,Q1030,2,1,G-779
IS,24,,E,4/4/1960,f,Q1030,2,2,J-783
i61024,24,,E,3/17/1961,m,Q1030,2,3,I-249
NR,24,,E,4/9/1962,f,Q1030,2,4,K-225
YG,24,,E,3/12/1963,m,Q1030,2,5,K-838
ZX,24,,E,2/25/1964,f,Q1030,2,6,K-946
J1,24,,E,2/24/1965,f,Q1030,2,7,J-798
3U,24,,E,2/6/1967,m,Q1030,2,8,F-669
6Y,24,,A,2/23/1968,m,Q1030,2,9,G-021
221,24,,E,3/5/1969,m,Q1030,2,10,F-448
i70024,24,,E,3/3/1970,f,Q1030,2,11,I-512
CY,22,,U,1/1/1958,m,Q1029,2,1,G-685
KE,22,,U,3/25/1959,f,Q1029,2,2,J-975
W,22,,F,3/18/1960,f,Q1029,2,3,K-692
JI,22,,F,3/8/1961,f,Q1029,2,4,J-877
NW,22,,F,3/29/1962,m,Q1029,2,5,K-230
i63022,22,,F,5/3/1963,m,Q1029,2,6,I-277
WV,22,,F,3/26/1964,m,Q1029,2,7,K-723
A9,22,,F,3/16/1965,f,Q1029,2,8,G-451
i66022,22,,F,2/21/1966,f,Q1029,2,9,I-334
1H,22,,F,1/9/1967,m,Q1029,2,10,F-409
7Q,22,,F,4/1/1968,f,Q1029,2,11,G-131
i69022,22,,F,3/7/1969,f,Q1029,2,12,I-479
i70022,22,,F,1/10/1970,m,Q1029,2,13,I-511
i72022,22,,F,1/19/1972,f,Q1029,2,14,I-610
KN,21,,U,3/3/1959,m,Q1028,2,1,J-981
HC,21,,G,3/21/1960,m,Q1028,2,2,H-204
i61021,21,,I,3/26/1961,m,Q1028,2,3,I-248
BL,20,,U,1/1/1957,f,Q1027,2,1,G-569
BK,20,,U,3/25/1958,m,Q1027,2,2,G-568
M,20,,A,2/1/1960,m,Q1027,2,3,K-088
JO,20,,A,2/13/1961,f,Q1027,2,4,J-883
i62020,20,,A,3/15/1962,u,Q1027,2,5,I-261
XX,20,,A,2/8/1963,m,Q1027,2,6,K-819
OB,20,,A,3/26/1964,m,Q1027,2,7,K-297
i65020,20,,A,3/29/1965,u,Q1027,2,8,I-309
M5,20,,A,1/25/1966,m,Q1027,2,9,F-115
2X,20,,A,2/17/1967,f,Q1027,2,10,F-557
216,20,,A,4/20/1969,m,Q1027,2,11,F-442
R001,12,,U,1/1/1956,f,Q1025,2,1,K-330
S016,12,,U,1/1/1957,f,Q1025,2,2,K-403
9,12,,U,3/20/1958,m,Q1025,2,3,G-255
EM,12,,U,5/7/1959,m,Q1025,2,4,G-888
IV,12,,A,2/27/1960,f,Q1025,2,5,J-786
E8,12,,A,3/11/1965,f,Q1025,2,6,G-866
S008,11,,U,1/1/1957,m,Q1024,2,1,K-394
BM,11,,U,2/22/1958,m,Q1024,2,2,G-570
i59011,11,,U,1/28/1959,u,Q1024,2,3,I-227
Z,11,,A,1/12/1960,f,Q1024,2,4,K-858
JE,11,,A,1/21/1961,f,Q1024,2,5,J-874
i62011,11,,A,3/3/1962,u,Q1024,2,6,I-259
i63011,11,,A,1/7/1963,f,Q1024,2,7,I-276
HR,10,,U,4/10/1959,f,Q1023,2,1,H-216
i61010,10,,C,3/26/1961,m,Q1023,2,2,I-247
UM,10,,C,5/23/1962,f,Q1023,2,3,K-602
i64010,10,,C,2/20/1964,u,Q1023,2,4,I-298
DR,7,,U,4/1/1959,f,Q1022,2,1,G-782
NA,7,,A,1/30/1961,m,Q1022,2,2,K-209
UE,7,,A,4/4/1962,m,Q1022,2,3,K-595
YV,7,,A,2/28/1963,m,Q1022,2,4,K-853
OJ,7,,A,2/20/1964,m,Q1022,2,5,K-304
E3,7,,A,3/5/1965,f,Q1022,2,6,G-818
T2,7,,A,3/18/1966,m,Q1022,2,7,K-492
2L,7,,A,4/4/1967,m,Q1022,2,8,F-546
202,7,,A,3/8/1968,m,Q1022,2,9,F-428
275,7,,A,5/16/1969,f,Q1022,2,10,F-508
396,7,,K,2/28/1970,f,Q1022,2,11,F-647
452,7,,K,3/5/1971,m,Q1022,2,12,F-724
i60004,4,,F,2/23/1960,u,Q1021,2,1,I-235
JT,4,,F,2/3/1961,m,Q1021,2,2,J-888
MC,4,,F,3/15/1963,m,Q1021,2,3,K-098
WT,4,,F,2/3/1964,f,Q1021,2,4,K-721
OV,4,,F,3/11/1965,m,Q1021,2,5,K-314
R5,4,,F,2/26/1966,m,Q1021,2,6,K-350
