AnimalId,DoB,Gender,BGrp,DadId,MomId,FounderId,UniCode
"CE",3/3/1959 0:00:00,"m","U",,"117","Q1084","G-675"
"ID",2/17/1960 0:00:00,"m","C",,"117","Q1084","J-765"
"NK",1/20/1961 0:00:00,"f","C",,"117","Q1084","K-219"
"i62117",2/24/1962 0:00:00,"f","C",,"117","Q1084","I-266"
"XB",1/22/1963 0:00:00,"f","C",,"117","Q1084","K-797"
"OI",2/15/1964 0:00:00,"f","C",,"117","Q1084","K-303"
"S004",1/1/1957 0:00:00,"m","U",,"116","Q1083","K-390"
"AN",3/15/1958 0:00:00,"m","U",,"116","Q1083","G-464"
"CS",4/17/1959 0:00:00,"f","U",,"116","Q1083","G-683"
"i60116",3/17/1960 0:00:00,"m","G",,"116","Q1083","I-242"
"JU",12/29/1960 0:00:00,"m","I",,"116","Q1083","J-889"
"NU",3/31/1962 0:00:00,"f","I",,"116","Q1083","K-228"
"XC",3/6/1963 0:00:00,"f","I",,"116","Q1083","K-798"
"FI",2/8/1964 0:00:00,"m","I",,"116","Q1083","G-993"
"3H",3/27/1967 0:00:00,"m","I",,"116","Q1083","F-658"
"EB",4/28/1959 0:00:00,"m","U",,"115","Q1082","G-879"
"LX",2/8/1961 0:00:00,"f","E",,"115","Q1082","K-085"
"UB#",4/7/1962 0:00:00,"m","E",,"115","Q1082","K-592"
"i63115",3/13/1963 0:00:00,"f","E",,"115","Q1082","I-287"
"V",4/17/1960 0:00:00,"m","E",,"114","Q1081","K-616"
"JA",4/2/1961 0:00:00,"m","E",,"114","Q1081","J-870"
"NP",4/27/1962 0:00:00,"m","E",,"114","Q1081","K-223"
"i63114",4/5/1963 0:00:00,"m","E",,"114","Q1081","I-286"
"WQ",2/21/1964 0:00:00,"f","E",,"114","Q1081","K-718"
"H5",5/10/1965 0:00:00,"f","E",,"114","Q1081","H-165"
"i66114",4/17/1966 0:00:00,"m","E",,"114","Q1081","I-338"
"3T",4/4/1967 0:00:00,"m","E",,"114","Q1081","F-668"
"9J",6/17/1968 0:00:00,"f","E",,"114","Q1081","G-348"
"225",4/14/1969 0:00:00,"f","E",,"114","Q1081","F-452"
"i70114",4/23/1970 0:00:00,"m","E",,"114","Q1081","I-513"
"EL",5/22/1959 0:00:00,"f","U",,"112","Q1080","G-887"
"NI",2/3/1961 0:00:00,"f","C",,"112","Q1080","K-217"
"UT",3/14/1962 0:00:00,"m","C",,"112","Q1080","K-609"
"YO",2/27/1963 0:00:00,"f","C",,"112","Q1080","K-846"
"WC",2/11/1964 0:00:00,"m","C",,"112","Q1080","K-704"
"F5",3/30/1965 0:00:00,"f","C",,"112","Q1080","G-939"
"W5",2/25/1966 0:00:00,"f","C",,"112","Q1080","K-697"
"DV",3/20/1958 0:00:00,"m","U",,"109","Q1078","G-785"
"KA",3/17/1959 0:00:00,"f","U",,"109","Q1078","J-971"
"HB",2/29/1960 0:00:00,"f","A",,"109","Q1078","H-203"
"LB",3/4/1961 0:00:00,"f","A",,"109","Q1078","K-063"
"UX",3/15/1962 0:00:00,"m","A",,"109","Q1078","K-613"
"XG",2/18/1963 0:00:00,"f","A",,"109","Q1078","K-802"
"GT",2/4/1964 0:00:00,"f","A",,"109","Q1078","H-117"
"i65109",2/9/1965 0:00:00,"f","A",,"109","Q1078","I-315"
"BY",3/18/1959 0:00:00,"f","U",,"106","Q1077","G-580"
"JM",1/6/1961 0:00:00,"f","A",,"106","Q1077","J-881"
"UZ",3/8/1962 0:00:00,"f","A",,"106","Q1077","K-615"
"XP",2/15/1963 0:00:00,"f","A",,"106","Q1077","K-811"
"ZB",2/15/1964 0:00:00,"m","A",,"106","Q1077","K-924"
"i65106",3/1/1965 0:00:00,"f","A",,"106","Q1077","I-314"
"X3",2/21/1966 0:00:00,"f","A",,"106","Q1077","K-753"
"2I",2/20/1967 0:00:00,"m","A",,"106","Q1077","F-543"
"6L",4/1/1968 0:00:00,"f","A",,"106","Q1077","G-011"
"212",3/9/1969 0:00:00,"m","A",,"106","Q1077","F-438"
"338",2/21/1970 0:00:00,"f","K",,"106","Q1077","F-588"
"KP",5/5/1959 0:00:00,"m","U",,"105","Q1076","J-982"
"L",5/11/1960 0:00:00,"f","C",,"105","Q1076","J-992"
"LL",5/29/1961 0:00:00,"f","C",,"105","Q1076","K-073"
"UK",4/25/1962 0:00:00,"m","C",,"105","Q1076","K-600"
"YR",6/4/1963 0:00:00,"f","C",,"105","Q1076","K-849"
"GV",5/2/1964 0:00:00,"f","C",,"105","Q1076","H-119"
"B6",3/23/1965 0:00:00,"m","C",,"105","Q1076","G-527"
"i66105",2/25/1966 0:00:00,"f","C",,"105","Q1076","I-337"
"1Q",3/2/1967 0:00:00,"f","C",,"105","Q1076","F-417"
"i68105",2/24/1968 0:00:00,"u","C",,"105","Q1076","I-412"
"AJ",2/26/1958 0:00:00,"f","U",,"102","Q1074","G-461"
"KQ",4/7/1959 0:00:00,"m","U",,"102","Q1074","J-983"
"U",4/5/1960 0:00:00,"m","E",,"102","Q1074","K-580"
"LD",3/18/1961 0:00:00,"m","E",,"102","Q1074","K-065"
"UR",4/25/1962 0:00:00,"f","E",,"102","Q1074","K-607"
"i63102",3/15/1963 0:00:00,"f","E",,"102","Q1074","I-284"
"WP",4/17/1964 0:00:00,"f","E",,"102","Q1074","K-717"
"H8",4/6/1965 0:00:00,"m","E",,"102","Q1074","H-188"
"V3",3/15/1966 0:00:00,"m","E",,"102","Q1074","K-642"
"Y7",3/7/1967 0:00:00,"m","E",,"102","Q1074","K-829"
"7Y",3/15/1968 0:00:00,"m","E",,"102","Q1074","G-138"
"222",3/17/1969 0:00:00,"m","E",,"102","Q1074","F-449"
"365",2/25/1970 0:00:00,"f","E",,"102","Q1074","F-615"
"402",3/8/1971 0:00:00,"m","E",,"102","Q1074","F-675"
"R003",1/1/1955 0:00:00,"f","U",,"22","Q1071","K-332"
"i5622",6/26/1956 0:00:00,"u","U",,"22","Q1071","I-222"
"R014",6/26/1956 0:00:00,"m","U",,"22","Q1071","K-342"
"BH",3/1/1959 0:00:00,"f","U",,"22","Q1071","G-566"
"BG",3/1/1959 0:00:00,"f","U",,"22","Q1071","G-565"
"IM",3/4/1960 0:00:00,"m","G",,"097","Q1069","J-778"
"i61097",3/22/1961 0:00:00,"m","H",,"097","Q1069","I-252"
"NO",4/4/1962 0:00:00,"m","H",,"097","Q1069","K-222"
"i63097",3/8/1963 0:00:00,"m","H",,"097","Q1069","I-283"
"ZO",2/15/1964 0:00:00,"m","H",,"097","Q1069","K-937"
"N5",2/5/1966 0:00:00,"f","H",,"097","Q1069","K-158"
"3N",3/4/1967 0:00:00,"f","H",,"097","Q1069","F-663"
"BN",4/18/1957 0:00:00,"f","U",,"093","Q1068","G-571"
"BP",4/24/1958 0:00:00,"f","U",,"093","Q1068","G-572"
"EP",4/15/1959 0:00:00,"m","U",,"093","Q1068","G-890"
"i60093",4/18/1960 0:00:00,"f","A",,"093","Q1068","I-239"
"S009",1/1/1957 0:00:00,"f","U",,"092","Q1067","K-395"
"BZ",2/1/1959 0:00:00,"m","U",,"092","Q1067","G-581"
"HX",3/5/1960 0:00:00,"f","A",,"092","Q1067","H-222"
"JQ",2/18/1961 0:00:00,"m","A",,"092","Q1067","J-885"
"TN",3/19/1962 0:00:00,"f","A",,"092","Q1067","K-567"
"i63092",5/3/1963 0:00:00,"m","A",,"092","Q1067","I-282"
"WU",4/24/1964 0:00:00,"m","A",,"092","Q1067","K-722"
"F7",4/9/1965 0:00:00,"m","J",,"092","Q1067","G-954"
"T9",5/12/1966 0:00:00,"f","J",,"092","Q1067","K-548"
"7E",2/14/1968 0:00:00,"m","J",,"092","Q1067","G-122"
"AA",1/1/1957 0:00:00,"f","U",,"091","Q1066","G-458"
"WD",2/5/1964 0:00:00,"f","I",,"091","Q1066","K-705"
"R013",1/1/1956 0:00:00,"f","U",,"090","Q1065","K-341"
"i57090",5/21/1957 0:00:00,"u","U",,"090","Q1065","I-224"
"AS",2/10/1959 0:00:00,"f","U",,"090","Q1065","G-467"
"i60090",3/2/1960 0:00:00,"u","A",,"090","Q1065","I-238"
"JY",2/21/1961 0:00:00,"f","A",,"090","Q1065","J-893"
"XE",4/20/1962 0:00:00,"m","A",,"090","Q1065","K-800"
"XW",3/21/1963 0:00:00,"f","A",,"090","Q1065","K-818"
"F1",1/15/1965 0:00:00,"m","A",,"090","Q1065","G-905"
"6C",2/18/1966 0:00:00,"f","A",,"090","Q1065","G-004"
"5K",7/1/1967 0:00:00,"m","A",,"090","Q1065","F-896"
"9Q",6/4/1968 0:00:00,"f","A",,"090","Q1065","G-353"
"CB",4/5/1959 0:00:00,"m","U",,"088","Q1064","G-674"
"i60088",4/24/1960 0:00:00,"f","C",,"088","Q1064","I-237"
"i62088",4/3/1962 0:00:00,"u","C",,"088","Q1064","I-264"
"YD",1/27/1963 0:00:00,"f","C",,"088","Q1064","K-835"
"GL",3/9/1964 0:00:00,"f","C",,"088","Q1064","H-110"
"C6",3/10/1965 0:00:00,"f","C",,"088","Q1064","G-639"
"W4",2/21/1966 0:00:00,"f","C",,"088","Q1064","K-696"
"i68088",2/19/1968 0:00:00,"f","C",,"088","Q1064","I-410"
"DS",3/19/1959 0:00:00,"m","U",,"085","Q1062","G-783"
"X",4/3/1960 0:00:00,"f","A",,"085","Q1062","K-727"
"JD",3/4/1961 0:00:00,"m","A",,"085","Q1062","J-873"
"i62085",3/24/1962 0:00:00,"f","A",,"085","Q1062","I-263"
"i63085",3/4/1963 0:00:00,"m","A",,"085","Q1062","I-281"
"S017",2/28/1957 0:00:00,"f","U",,"084","Q1061","K-404"
"AG",3/18/1958 0:00:00,"m","U",,"084","Q1061","G-459"
"R011",1/1/1956 0:00:00,"f","U",,"083","Q1060","K-339"
"S003",1/1/1957 0:00:00,"f","U",,"083","Q1060","K-389"
"R010",1/1/1956 0:00:00,"f","U",,"081","Q1059","K-338"
"IA",3/10/1959 0:00:00,"m","U",,"081","Q1059","J-762"
"i60081",3/21/1960 0:00:00,"m","A",,"081","Q1059","I-236"
"LG",3/6/1961 0:00:00,"m","A",,"081","Q1059","K-068"
"UH",4/7/1962 0:00:00,"f","A",,"081","Q1059","K-597"
"i63081",3/13/1963 0:00:00,"m","A",,"081","Q1059","I-280"
"FJ",2/28/1964 0:00:00,"m","A",,"081","Q1059","G-994"
"K3",3/9/1965 0:00:00,"m","A",,"081","Q1059","J-915"
"6H",3/11/1966 0:00:00,"f","A",,"081","Q1059","G-007"
"5Y",3/11/1967 0:00:00,"m","A",,"081","Q1059","F-907"
"387",4/9/1969 0:00:00,"m","A",,"081","Q1059","F-637"
"AM",3/21/1958 0:00:00,"f","U",,"080","Q1058","G-463"
"CR",3/1/1959 0:00:00,"m","U",,"080","Q1058","G-682"
"HL",3/22/1960 0:00:00,"f","G",,"080","Q1058","H-211"
"LS",4/13/1961 0:00:00,"f","H",,"080","Q1058","K-080"
"XS",3/14/1963 0:00:00,"f","H",,"080","Q1058","K-814"
"WN",3/26/1964 0:00:00,"f","H",,"080","Q1058","K-715"
"i65080",7/29/1965 0:00:00,"u","H",,"080","Q1058","I-313"
"i66080",2/16/1966 0:00:00,"f","H",,"080","Q1058","I-336"
"KH",4/15/1959 0:00:00,"f","U",,"078","Q1057","J-977"
"HS",5/28/1960 0:00:00,"f","A",,"078","Q1057","H-217"
"R009",1/1/1956 0:00:00,"m","U",,"076","Q1056","K-337"
"KB",1/1/1957 0:00:00,"m","U",,"076","Q1056","J-972"
"CZ",1/1/1958 0:00:00,"m","U",,"076","Q1056","G-686"
"KD",3/5/1959 0:00:00,"f","U",,"076","Q1056","J-974"
"HK",3/9/1960 0:00:00,"f","F",,"076","Q1056","H-210"
"JH",2/27/1961 0:00:00,"f","F",,"076","Q1056","J-876"
"NT",3/26/1962 0:00:00,"m","F",,"076","Q1056","K-227"
"YA",3/8/1963 0:00:00,"m","F",,"076","Q1056","K-832"
"WX",2/12/1964 0:00:00,"f","F",,"076","Q1056","K-724"
"B4",4/18/1965 0:00:00,"m","F",,"076","Q1056","G-508"
"N7",3/17/1966 0:00:00,"m","F",,"076","Q1056","K-177"
"1A",3/27/1967 0:00:00,"f","F",,"076","Q1056","F-402"
"299",1/10/1970 0:00:00,"f","F",,"076","Q1056","B-051"
"512",3/3/1972 0:00:00,"m","F",,"076","Q1056","F-802"
"N",5/19/1960 0:00:00,"m","C",,"075","Q1055","K-115"
"NS",2/20/1962 0:00:00,"m","C",,"075","Q1055","K-226"
"XY",2/17/1963 0:00:00,"m","C",,"075","Q1055","K-820"
"OF",4/15/1964 0:00:00,"f","C",,"075","Q1055","K-300"
"i65075",3/24/1965 0:00:00,"m","C",,"075","Q1055","I-312"
"X8",4/29/1966 0:00:00,"m","C",,"075","Q1055","K-785"
"5T",3/3/1967 0:00:00,"m","C",,"075","Q1055","F-903"
"i69075",1/31/1969 0:00:00,"m","C",,"075","Q1055","I-482"
"LN",3/10/1960 0:00:00,"f","C",,"074","Q1054","K-075"
"IZ",4/20/1961 0:00:00,"m","C",,"074","Q1054","J-790"
"TX",4/18/1962 0:00:00,"f","C",,"074","Q1054","K-577"
"MS",4/12/1963 0:00:00,"m","C",,"074","Q1054","K-112"
"GU",4/24/1964 0:00:00,"f","C",,"074","Q1054","H-118"
"J9",4/11/1965 0:00:00,"f","C",,"074","Q1054","J-863"
"X6",4/11/1966 0:00:00,"m","C",,"074","Q1054","K-772"
"4X",4/16/1967 0:00:00,"f","C",,"074","Q1054","F-787"
"i68074",6/30/1968 0:00:00,"f","C",,"074","Q1054","I-409"
"EK",1/1/1956 0:00:00,"f","U",,"073","Q1053","G-886"
"ER",1/1/1958 0:00:00,"m","U",,"073","Q1053","G-892"
"EZ",4/6/1959 0:00:00,"m","U",,"073","Q1053","G-897"
"K",3/28/1960 0:00:00,"f","F",,"073","Q1053","J-895"
"JJ",3/5/1961 0:00:00,"f","F",,"073","Q1053","J-878"
"BB",1/30/1959 0:00:00,"f","U",,"070","Q1052","G-564"
"NG",1/23/1961 0:00:00,"m","C",,"070","Q1052","K-215"
"i63070",2/1/1963 0:00:00,"m","C",,"070","Q1052","I-279"
"BR",1/1/1957 0:00:00,"m","U",,"069","Q1051","G-574"
"i59069",2/23/1959 0:00:00,"f","U",,"069","Q1051","I-229"
"HH",2/28/1960 0:00:00,"f","A",,"069","Q1051","H-208"
"LV",2/17/1961 0:00:00,"f","A",,"069","Q1051","K-083"
"TU",3/26/1962 0:00:00,"f","A",,"069","Q1051","K-574"
"R008",1/1/1956 0:00:00,"m","U",,"065","Q1050","K-336"
"DD",3/30/1958 0:00:00,"f","U",,"065","Q1050","G-775"
"KG",7/1/1959 0:00:00,"f","U",,"065","Q1050","J-976"
"JS",2/2/1961 0:00:00,"m","F",,"065","Q1050","J-887"
"TD",4/5/1962 0:00:00,"m","F",,"065","Q1050","K-557"
"WK",5/7/1963 0:00:00,"m","F",,"065","Q1050","K-712"
"FB",3/11/1964 0:00:00,"f","F",,"065","Q1050","G-986"
"OS",3/17/1965 0:00:00,"f","F",,"065","Q1050","K-311"
"7P",3/27/1968 0:00:00,"m","F",,"065","Q1050","G-130"
"i69065",4/8/1969 0:00:00,"m","F",,"065","Q1050","I-481"
"298",2/14/1970 0:00:00,"m","F",,"065","Q1050","F-533"
"436",6/3/1971 0:00:00,"m","F",,"065","Q1050","F-709"
"BV",1/1/1956 0:00:00,"f","U",,"064","Q1049","G-577"
"AY",1/1/1957 0:00:00,"f","U",,"064","Q1049","G-472"
"KX",2/25/1959 0:00:00,"m","U",,"064","Q1049","J-990"
"LC",2/15/1961 0:00:00,"f","A",,"064","Q1049","K-064"
"YC",4/27/1962 0:00:00,"m","A",,"064","Q1049","K-834"
"GY",2/6/1964 0:00:00,"f","A",,"064","Q1049","H-122"
"P4",4/4/1966 0:00:00,"f","A",,"064","Q1049","K-323"
"EN",4/3/1958 0:00:00,"m","U",,"062","Q1048","G-889"
"LY",7/3/1961 0:00:00,"m","A",,"062","Q1048","K-086"
"XN",2/7/1963 0:00:00,"f","A",,"062","Q1048","K-809"
"ZH",2/21/1964 0:00:00,"m","A",,"062","Q1048","K-930"
"K2",3/5/1965 0:00:00,"f","A",,"062","Q1048","J-908"
"P6",2/25/1966 0:00:00,"m","A",,"062","Q1048","K-325"
"2P",3/3/1967 0:00:00,"m","A",,"062","Q1048","F-549"
"6U",3/5/1968 0:00:00,"m","A",,"062","Q1048","G-018"
"257",3/1/1969 0:00:00,"m","A",,"062","Q1048","F-487"
"294",2/24/1970 0:00:00,"f","L",,"062","Q1048","F-529"
"404",3/5/1971 0:00:00,"f","L",,"062","Q1048","F-677"
"478",4/15/1972 0:00:00,"m","L",,"062","Q1048","F-749"
"629",3/27/1974 0:00:00,"f","L",,"062","Q1048","F-936"
"i76062",5/5/1976 0:00:00,"f","L",,"062","Q1048","I-698"
"EE",1/1/1958 0:00:00,"m","U",,"058","Q1046","G-882"
"S",2/5/1960 0:00:00,"f","A",,"058","Q1046","K-385"
"i61058",3/18/1961 0:00:00,"f","C",,"058","Q1046","I-250"
"KS",3/1/1959 0:00:00,"f","U",,"051","Q1042","J-985"
"AH",1/1/1958 0:00:00,"f","U",,"049","Q1041","G-460"
"CM",4/15/1959 0:00:00,"f","U",,"049","Q1041","G-679"
"IL",4/16/1960 0:00:00,"m","G",,"049","Q1041","J-777"
"LP",3/18/1961 0:00:00,"f","H",,"049","Q1041","K-077"
"TE",7/21/1962 0:00:00,"f","H",,"049","Q1041","K-558"
"YU",5/17/1963 0:00:00,"m","H",,"049","Q1041","K-852"
"FZ",5/20/1964 0:00:00,"m","H",,"049","Q1041","H-010"
"K4",4/14/1965 0:00:00,"m","H",,"049","Q1041","J-924"
"R6",3/24/1966 0:00:00,"f","H",,"049","Q1041","K-355"
"i67049",3/21/1967 0:00:00,"m","H",,"049","Q1041","I-387"
"7I",4/20/1968 0:00:00,"m","H",,"049","Q1041","G-125"
"R004",1/1/1956 0:00:00,"f","U",,"046","Q1039","K-333"
"BT",2/27/1958 0:00:00,"f","U",,"046","Q1039","G-576"
"ET",5/29/1959 0:00:00,"m","U",,"046","Q1039","G-894"
"H",5/16/1960 0:00:00,"m","G",,"046","Q1039","H-124"
"LF",5/5/1961 0:00:00,"f","H",,"046","Q1039","K-067"
"HJ",3/14/1959 0:00:00,"f","U",,"041","Q1038","H-209"
"i62041",3/20/1962 0:00:00,"m","A",,"041","Q1038","I-262"
"MN",3/26/1963 0:00:00,"m","A",,"041","Q1038","K-107"
"FM",2/16/1964 0:00:00,"f","A",,"041","Q1038","G-997"
"A2",2/26/1965 0:00:00,"f","A",,"041","Q1038","G-384"
"L9",2/18/1966 0:00:00,"m","A",,"041","Q1038","K-054"
"KU",1/22/1959 0:00:00,"m","U",,"040","Q1037","J-987"
"HG",2/20/1960 0:00:00,"m","A",,"040","Q1037","H-207"
"JX",5/4/1961 0:00:00,"m","A",,"040","Q1037","J-892"
"TP",4/7/1962 0:00:00,"m","A",,"040","Q1037","K-569"
"BS",1/1/1958 0:00:00,"m","U",,"037","Q1035","G-575"
"HN",1/25/1960 0:00:00,"f","A",,"037","Q1035","H-213"
"JZ",3/15/1961 0:00:00,"m","A",,"037","Q1035","J-894"
"TW",3/22/1962 0:00:00,"f","A",,"037","Q1035","K-576"
"XR",2/15/1963 0:00:00,"f","A",,"037","Q1035","K-813"
"GZ",2/1/1964 0:00:00,"m","A",,"037","Q1035","H-123"
"E5",2/19/1965 0:00:00,"m","A",,"037","Q1035","G-840"
"T3",2/21/1966 0:00:00,"m","A",,"037","Q1035","K-500"
"4C",2/10/1967 0:00:00,"f","A",,"037","Q1035","F-770"
"6N",2/10/1968 0:00:00,"m","A",,"037","Q1035","G-012"
"242",2/15/1969 0:00:00,"f","A",,"037","Q1035","F-470"
"367",3/5/1970 0:00:00,"f","A",,"037","Q1035","F-617"
"i71037",4/12/1971 0:00:00,"m","A",,"037","Q1035","I-541"
"AU",1/1/1958 0:00:00,"f","U",,"035","Q1034","G-469"
"EH",3/1/1959 0:00:00,"m","U",,"035","Q1034","G-884"
"IY",3/8/1960 0:00:00,"f","C",,"035","Q1034","J-789"
"NC",2/27/1961 0:00:00,"f","C",,"035","Q1034","K-211"
"XA",3/10/1962 0:00:00,"m","C",,"035","Q1034","K-796"
"83I",2/11/1998 0:00:00,"m","S","X79","035","Q1034","D-604"
"HP",3/7/1959 0:00:00,"f","U",,"031","Q1033","H-215"
"HM",3/20/1960 0:00:00,"m","A",,"031","Q1033","H-212"
"JP",3/10/1961 0:00:00,"f","A",,"031","Q1033","J-884"
"UD",3/29/1962 0:00:00,"m","A",,"031","Q1033","K-594"
"XJ",3/15/1963 0:00:00,"f","A",,"031","Q1033","K-805"
"WF",2/21/1964 0:00:00,"f","A",,"031","Q1033","K-707"
"A6",3/1/1965 0:00:00,"f","J",,"031","Q1033","G-425"
"K8",2/21/1966 0:00:00,"m","J",,"031","Q1033","J-959"
"5D",2/24/1967 0:00:00,"m","J",,"031","Q1033","F-890"
"7H",3/3/1968 0:00:00,"f","J",,"031","Q1033","G-124"
"240",3/5/1969 0:00:00,"f","J",,"031","Q1033","F-468"
"320",3/8/1970 0:00:00,"f","J",,"031","Q1033","B-365"
"420",2/17/1971 0:00:00,"f","J",,"031","Q1033","B-816"
"492",3/22/1972 0:00:00,"m","J",,"031","Q1033","F-760"
"i73031",3/31/1973 0:00:00,"m","J",,"031","Q1033","I-649"
"NL",4/15/1960 0:00:00,"m","C",,"029","Q1032","K-220"
"UL",3/27/1962 0:00:00,"f","C",,"029","Q1032","K-601"
"YW",6/1/1963 0:00:00,"m","C",,"029","Q1032","K-854"
